Date,Meeting,Agenda Link,Minutes Link
1993-02-04,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_g_0002.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0334.pdf
1993-03-03,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_g_0006.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0333.pdf
1993-03-24,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_0332.pdf,
1993-04-14,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_0330.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0331.pdf
1993-04-28,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_0290.pdf,http://boardarchives.metro.net/Minutes/1993/00353.pdf
1993-05-14,Special Board Meeting,http://boardarchives.metro.net/Minutes/1993/00354.pdf,http://boardarchives.metro.net/Minutes/1993/00354.pdf
1993-05-19,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_0287.pdf,http://boardarchives.metro.net/Minutes/1993/00355.pdf
1993-06-02,Special Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_0282.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0284.pdf
1993-06-09,Special Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_0286.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0283.pdf
1993-06-16,Special Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_0270.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0271.pdf
1993-06-23,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_0279.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0280.pdf
1993-06-30,Special Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_0231.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0230.pdf
1993-07-28,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_g_0052.pdf,http://boardarchives.metro.net/Minutes/1993/minutes_g_0051.pdf
1993-08-25,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_g_0044.pdf,http://boardarchives.metro.net/Minutes/1993/00363.pdf
1993-09-15,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_g_0042.pdf,http://boardarchives.metro.net/Minutes/1993/minutes_g_0039.pdf
1993-10-07,Special Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_g_0043.pdf,http://boardarchives.metro.net/Minutes/1993/minutes_g_0040.pdf
1993-10-27,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_g_0021.pdf,http://boardarchives.metro.net/Minutes/1993/minutes_g_0015.pdf
1993-11-17,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_g_0008.pdf,http://boardarchives.metro.net/Minutes/1993/00365.pdf
1993-11-17,Special Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_g_0007.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0360.pdf
1993-12-15,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1993/agenda_g_0013.pdf,http://boardarchives.metro.net/Minutes/1993/00367.pdf
1994-01-05,Special Board Meeting,http://boardarchives.metro.net/Agendas/1994/agenda_g_0009.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_g_0010.pdf
1994-01-26,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agenda_g_0017.pdf,
1994-02-02,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agenda_g_0020.pdf,
1994-02-23,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0003.pdf,http://boardarchives.metro.net/Minutes/1994/19940223minutes.pdf
1994-03-23,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agenda_March1994.pdf,http://boardarchives.metro.net/Minutes/1994/03231994min.pdf
1994-04-27,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agenda_0380.pdf,http://boardarchives.metro.net/Minutes/1994/41994minutes2a.pdf
1994-05-06,Special Board Meeting,http://boardarchives.metro.net/Agendas/1994/agenda_0379.pdf,http://boardarchives.metro.net/Minutes/1994/51994minute1a.pdf
1994-05-25,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agenda_0378.pdf,"http://boardarchives.metro.net/Minutes/1994/May%2025,%201994%20minutes.pdf"
1994-06-22,Special Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0027.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0362.pdf
1994-06-29,Special Board Meeting,http://boardarchives.metro.net/Agendas/1994/agenda_0361.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0363.pdf
1994-07-05,Special Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0008.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0364.pdf
1994-07-06,Special Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0007.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0365.pdf
1994-07-13,Special Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0009.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0366.pdf
1994-07-13,Special Board Meeting,,http://boardarchives.metro.net/Minutes/1994/minutes_0373.pdf
1994-07-16,Special Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0006.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0367.pdf
1994-07-20,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0011.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0368.pdf
1994-07-23,Special Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0010.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0369.pdf
1994-07-27,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0012.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0370.pdf
1994-08-01,Special Board Meeting,http://boardarchives.metro.net/Agendas/1994/other_0004.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0371.pdf
