id,name,sameAs,sameAsNote,validThrough,census_geoid,census_geoid_12,census_geoid_14,openstates_district,placeholder_id,sch_dist_stateid,state_id,validFrom
ocd-division/country:us,United States,,,,,,,,,,,
ocd-division/country:us/state:ca,California,,,,,,,,,,,
ocd-division/country:us/state:ca/transportation:caltrans,Caltrans,,,,,,,,,,,
ocd-division/country:us/state:ca/transportation:caltrans/district:7,Caltrans District 7,,,,,,,,,,,
ocd-division/country:us/state:ca/place:los_angeles,Los Angeles city,,,,place-0644000,,,,,,,
ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,,,,place-06037,,,,,,,
ocd-division/country:us/state:ca/county:los_angeles/council_district:1,Los Angeles CA county supervisor district 1,,,,,,,,,,,
ocd-division/country:us/state:ca/county:los_angeles/council_district:2,Los Angeles CA county supervisor district 2,,,,,,,,,,,
ocd-division/country:us/state:ca/county:los_angeles/council_district:3,Los Angeles CA county supervisor district 3,,,,,,,,,,,
ocd-division/country:us/state:ca/county:los_angeles/council_district:4,Los Angeles CA county supervisor district 4,,,,,,,,,,,
ocd-division/country:us/state:ca/county:los_angeles/council_district:5,Los Angeles CA county supervisor district 5,,,,,,,,,,,
ocd-division/country:us/state:ca/county:los_angeles/la_metro_sector:north_county_san_fernando_valley,Los Angeles CA county supervisor North County/San Fernando Valley,,,,,,,,,,,
ocd-division/country:us/state:ca/county:los_angeles/la_metro_sector:san_gabriel_valley,Los Angeles CA county supervisor San Gabriel Valley,,,,,,,,,,,
ocd-division/country:us/state:ca/county:los_angeles/la_metro_sector:southeast_long_beach,Los Angeles CA county supervisor Southeast Long Beach,,,,,,,,,,,
ocd-division/country:us/state:ca/county:los_angeles/la_metro_sector:southwest_corridor,Los Angeles CA county supervisor Southwest Corridor,,,,,,,,,,,
